year,avg_temp
1843,24.74
1844,15.45
1845,20.82
1846,
1847,
1848,24.56
1849,24.80
1850,24.34
1851,25.03
1852,24.85
1853,24.93
1854,24.72
1855,24.92
1856,24.57
1857,24.26
1858,25.01
1859,24.95
1860,24.94
1861,24.13
1862,23.77
1863,24.28
1864,25.03
1865,25.23
1866,24.92
1867,25.22
1868,25.00
1869,25.30
1870,25.02
1871,24.73
1872,24.87
1873,25.24
1874,24.98
1875,24.43
1876,24.89
1877,25.47
1878,25.51
1879,25.24
1880,24.80
1881,25.63
1882,24.66
1883,25.19
1884,24.80
1885,24.98
1886,24.98
1887,24.81
1888,25.13
1889,25.52
1890,25.07
1891,25.39
1892,25.22
1893,25.19
1894,24.66
1895,24.69
1896,24.88
1897,24.86
1898,24.88
1899,25.12
1900,25.29
1901,25.55
1902,25.25
1903,24.64
1904,25.07
1905,24.87
1906,24.85
1907,24.44
1908,24.95
1909,25.57
1910,24.75
1911,24.24
1912,24.96
1913,24.63
1914,24.94
1915,25.38
1916,24.85
1917,25.03
1918,24.66
1919,25.39
1920,24.94
1921,24.84
1922,25.35
1923,25.10
1924,25.69
1925,25.00
1926,25.19
1927,25.29
1928,25.39
1929,25.36
1930,25.39
1931,25.38
1932,24.96
1933,24.67
1934,24.97
1935,25.61
1936,25.15
1937,25.08
1938,25.11
1939,25.16
1940,25.51
1941,25.37
1942,25.49
1943,24.96
1944,25.60
1945,25.30
1946,25.49
1947,26.00
1948,24.85
1949,24.82
1950,24.98
1951,26.10
1952,25.72
1953,25.51
1954,25.80
1955,25.33
1956,25.02
1957,24.69
1958,25.64
1959,24.14
1960,25.67
1961,25.12
1962,26.10
1963,25.54
1964,25.14
1965,25.59
1966,26.16
1967,24.87
1968,25.21
1969,26.05
1970,25.84
1971,24.93
1972,24.74
1973,25.60
1974,25.40
1975,25.04
1976,24.97
1977,25.99
1978,25.95
1979,26.20
1980,25.83
1981,25.95
1982,24.62
1983,24.85
1984,25.05
1985,25.30
1986,25.36
1987,26.37
1988,25.99
1989,25.05
1990,25.70
1991,25.43
1992,24.37
1993,25.42
1994,26.08
1995,25.64
1996,26.28
1997,25.49
1998,26.73
1999,26.92
2000,26.55
2001,26.67
2002,26.44
2003,26.62
2004,26.20
2005,26.27
2006,26.24
2007,26.49
2008,26.21
2009,26.71
2010,27.37
2011,26.40
2012,26.83
2013,27.78
